lotid,slotid,shot_x,shot_y,item,value
E43313,2,2,2,misalign_-30,99999
E33462,17,2,2,misalign_30,99999
E33462,17,2,2,misalign_20,99999
E33462,17,2,2,misalign_10,47
E33462,17,2,2,misalign_0,52
E33462,17,2,2,misalign_-10,88
E33462,17,2,2,misalign_-20,99999
E33462,17,2,2,misalign_-30,99999
E64217,23,2,4,misalign_30,99999
E64217,23,2,4,misalign_20,99999
E64217,23,2,4,misalign_10,35
E64217,23,2,4,misalign_0,43
E64217,23,2,4,misalign_-10,35
E64217,23,2,4,misalign_-20,99999
E64217,23,2,4,misalign_-30,99999
E43313,22,6,3,misalign_30,99999
E43313,22,6,3,misalign_20,99999
E43313,22,6,3,misalign_10,99999
E43313,22,6,3,misalign_0,40
E43313,22,6,3,misalign_-10,80
E43313,22,6,3,misalign_-20,29
E43313,22,6,3,misalign_-30,99999
E33462,4,6,3,misalign_30,99999
E33462,4,6,3,misalign_20,99999
E33462,4,6,3,misalign_10,99999
E33462,4,6,3,misalign_0,12
E33462,4,6,3,misalign_-10,63
E33462,4,6,3,misalign_-20,11
E33462,4,6,3,misalign_-30,99999
E33462,9,7,2,misalign_30,99999
E33462,9,7,2,misalign_20,99999
E33462,9,7,2,misalign_10,14
E33462,9,7,2,misalign_0,22
E33462,9,7,2,misalign_-10,16
E33462,9,7,2,misalign_-20,99999
E33462,9,7,2,misalign_-30,99999
E39923,6,5,4,misalign_30,99999
E39923,6,5,4,misalign_20,99999
E39923,6,5,4,misalign_10,21
E39923,6,5,4,misalign_0,31
E39923,6,5,4,misalign_-10,52
E39923,6,5,4,misalign_-20,99999
E39923,6,5,4,misalign_-30,99999
E43313,24,4,1,misalign_30,99999
E43313,24,4,1,misalign_20,99999
E43313,24,4,1,misalign_10,70
E43313,24,4,1,misalign_0,54
E43313,24,4,1,misalign_-10,90
E43313,24,4,1,misalign_-20,99999
E43313,24,4,1,misalign_-30,99999
E43313,16,4,1,misalign_30,99999
E43313,16,4,1,misalign_20,99999
E43313,16,4,1,misalign_10,99999
E43313,16,4,1,misalign_0,67
E43313,16,4,1,misalign_-10,25
E43313,16,4,1,misalign_-20,55
E43313,16,4,1,misalign_-30,99999
E43313,5,1,3,misalign_30,99999
E43313,5,1,3,misalign_20,96
E43313,5,1,3,misalign_10,52
E43313,5,1,3,misalign_0,39
E43313,5,1,3,misalign_-10,68
E43313,5,1,3,misalign_-20,83
E43313,5,1,3,misalign_-30,99999
E39923,2,2,4,misalign_30,99999
E39923,2,2,4,misalign_20,99999
E39923,2,2,4,misalign_10,99999
E39923,2,2,4,misalign_0,80
E39923,2,2,4,misalign_-10,47
E39923,2,2,4,misalign_-20,14
E39923,2,2,4,misalign_-30,99999
E33462,21,4,3,misalign_30,99999
E33462,21,4,3,misalign_20,15
E33462,21,4,3,misalign_10,94
E33462,21,4,3,misalign_0,32
E33462,21,4,3,misalign_-10,71
E33462,21,4,3,misalign_-20,76
E33462,21,4,3,misalign_-30,99999
E64217,9,7,2,misalign_30,99999
E64217,9,7,2,misalign_20,99999
E64217,9,7,2,misalign_10,65
E64217,9,7,2,misalign_0,78
E64217,9,7,2,misalign_-10,25
E64217,9,7,2,misalign_-20,99999
E64217,9,7,2,misalign_-30,99999
E64217,12,4,3,misalign_30,99999
E64217,12,4,3,misalign_20,99999
E64217,12,4,3,misalign_10,98
E64217,12,4,3,misalign_0,21
E64217,12,4,3,misalign_-10,63
E64217,12,4,3,misalign_-20,98
E64217,12,4,3,misalign_-30,99999
E43313,19,4,1,misalign_30,99999
E43313,19,4,1,misalign_20,94
E43313,19,4,1,misalign_10,97
E43313,19,4,1,misalign_0,83
E43313,19,4,1,misalign_-10,41
E43313,19,4,1,misalign_-20,99999
E43313,19,4,1,misalign_-30,99999
E43313,20,4,3,misalign_30,99999
E43313,20,4,3,misalign_20,31
E43313,20,4,3,misalign_10,79
E43313,20,4,3,misalign_0,10
E43313,20,4,3,misalign_-10,32
E43313,20,4,3,misalign_-20,6
E43313,20,4,3,misalign_-30,99999
E39923,23,1,3,misalign_30,99999
E39923,23,1,3,misalign_20,99999
E39923,23,1,3,misalign_10,20
E39923,23,1,3,misalign_0,35
E39923,23,1,3,misalign_-10,9
E39923,23,1,3,misalign_-20,64
E39923,23,1,3,misalign_-30,62
E33462,16,1,3,misalign_30,99999
E33462,16,1,3,misalign_20,99999
E33462,16,1,3,misalign_10,24
E33462,16,1,3,misalign_0,25
E33462,16,1,3,misalign_-10,16
E33462,16,1,3,misalign_-20,99999
E33462,16,1,3,misalign_-30,99999
E33462,24,7,2,misalign_30,99999
E33462,24,7,2,misalign_20,40
E33462,24,7,2,misalign_10,5
E33462,24,7,2,misalign_0,72
E33462,24,7,2,misalign_-10,99999
E33462,24,7,2,misalign_-20,99999
E33462,24,7,2,misalign_-30,99999
E43313,5,2,2,misalign_30,99999
E43313,5,2,2,misalign_20,99999
E43313,5,2,2,misalign_10,99999
E43313,5,2,2,misalign_0,68
E43313,5,2,2,misalign_-10,50
E43313,5,2,2,misalign_-20,99999
E43313,5,2,2,misalign_-30,99999
E64217,14,1,3,misalign_30,99999
E64217,14,1,3,misalign_20,65
E64217,14,1,3,misalign_10,75
E64217,14,1,3,misalign_0,50
E64217,14,1,3,misalign_-10,4
E64217,14,1,3,misalign_-20,35
E64217,14,1,3,misalign_-30,99999
E33462,10,6,3,misalign_30,99999
E33462,10,6,3,misalign_20,99999
E33462,10,6,3,misalign_10,83
E33462,10,6,3,misalign_0,80
E33462,10,6,3,misalign_-10,10
E33462,10,6,3,misalign_-20,99999
E33462,10,6,3,misalign_-30,99999
E33462,4,4,1,misalign_30,99999
E33462,4,4,1,misalign_20,69
E33462,4,4,1,misalign_10,68
E33462,4,4,1,misalign_0,64
E33462,4,4,1,misalign_-10,99999
E33462,4,4,1,misalign_-20,99999
E33462,4,4,1,misalign_-30,99999
E39923,7,7,2,misalign_30,99999
E39923,7,7,2,misalign_20,53
E39923,7,7,2,misalign_10,82
E39923,7,7,2,misalign_0,19
E39923,7,7,2,misalign_-10,99999
E39923,7,7,2,misalign_-20,99999
E39923,7,7,2,misalign_-30,99999
E39923,19,2,4,misalign_30,99999
E39923,19,2,4,misalign_20,99999
E39923,19,2,4,misalign_10,99999
E39923,19,2,4,misalign_0,37
E39923,19,2,4,misalign_-10,35
E39923,19,2,4,misalign_-20,50
E39923,19,2,4,misalign_-30,99999
E43313,5,5,4,misalign_30,99999
E43313,5,5,4,misalign_20,99999
E43313,5,5,4,misalign_10,12
E43313,5,5,4,misalign_0,64
E43313,5,5,4,misalign_-10,95
E43313,5,5,4,misalign_-20,99999
E43313,5,5,4,misalign_-30,99999
E33462,13,2,4,misalign_30,99999
E33462,13,2,4,misalign_20,99999
E33462,13,2,4,misalign_10,99999
E33462,13,2,4,misalign_0,99999
E33462,13,2,4,misalign_-10,7
E33462,13,2,4,misalign_-20,7
E33462,13,2,4,misalign_-30,90
E33462,22,5,4,misalign_30,99999
E33462,22,5,4,misalign_20,99999
E33462,22,5,4,misalign_10,24
E33462,22,5,4,misalign_0,2
E33462,22,5,4,misalign_-10,45
E33462,22,5,4,misalign_-20,99999
E33462,22,5,4,misalign_-30,99999
E43313,24,1,3,misalign_30,99999
E43313,24,1,3,misalign_20,99999
E43313,24,1,3,misalign_10,44
E43313,24,1,3,misalign_0,8
E43313,24,1,3,misalign_-10,65
E43313,24,1,3,misalign_-20,99999
E43313,24,1,3,misalign_-30,99999
E43313,6,4,3,misalign_30,99999
E43313,6,4,3,misalign_20,59
E43313,6,4,3,misalign_10,69
E43313,6,4,3,misalign_0,33
E43313,6,4,3,misalign_-10,99999
E43313,6,4,3,misalign_-20,99999
E43313,6,4,3,misalign_-30,99999
E33462,17,7,2,misalign_30,99999
E33462,17,7,2,misalign_20,99999
E33462,17,7,2,misalign_10,9
E33462,17,7,2,misalign_0,6
E33462,17,7,2,misalign_-10,9
E33462,17,7,2,misalign_-20,99999
E33462,17,7,2,misalign_-30,99999
E39923,3,5,4,misalign_30,99999
E39923,3,5,4,misalign_20,99999
E39923,3,5,4,misalign_10,70
E39923,3,5,4,misalign_0,55
E39923,3,5,4,misalign_-10,28
E39923,3,5,4,misalign_-20,99999
E39923,3,5,4,misalign_-30,99999
E39923,5,1,3,misalign_30,99999
E39923,5,1,3,misalign_20,75
E39923,5,1,3,misalign_10,75
E39923,5,1,3,misalign_0,49
E39923,5,1,3,misalign_-10,99999
E39923,5,1,3,misalign_-20,99999
E39923,5,1,3,misalign_-30,99999
E43313,22,4,1,misalign_30,99999
E43313,22,4,1,misalign_20,32
E43313,22,4,1,misalign_10,61
E43313,22,4,1,misalign_0,82
E43313,22,4,1,misalign_-10,99999
E43313,22,4,1,misalign_-20,99999
E43313,22,4,1,misalign_-30,99999
E43313,6,1,3,misalign_30,99999
E43313,6,1,3,misalign_20,99999
E43313,6,1,3,misalign_10,59
E43313,6,1,3,misalign_0,15
E43313,6,1,3,misalign_-10,76
E43313,6,1,3,misalign_-20,99999
E43313,6,1,3,misalign_-30,99999
E64217,10,4,3,misalign_30,99999
E64217,10,4,3,misalign_20,99999
E64217,10,4,3,misalign_10,81
E64217,10,4,3,misalign_0,9
E64217,10,4,3,misalign_-10,49
E64217,10,4,3,misalign_-20,61
E64217,10,4,3,misalign_-30,99999
E33462,1,7,2,misalign_30,99999
E33462,1,7,2,misalign_20,99999
E33462,1,7,2,misalign_10,75
E33462,1,7,2,misalign_0,72
E33462,1,7,2,misalign_-10,82
E33462,1,7,2,misalign_-20,58
E33462,1,7,2,misalign_-30,99999
E64217,8,5,4,misalign_30,99999
E64217,8,5,4,misalign_20,88
E64217,8,5,4,misalign_10,52
E64217,8,5,4,misalign_0,60
E64217,8,5,4,misalign_-10,99999
E64217,8,5,4,misalign_-20,99999
E64217,8,5,4,misalign_-30,99999
E43313,20,4,1,misalign_30,99999
E43313,20,4,1,misalign_20,75
E43313,20,4,1,misalign_10,87
E43313,20,4,1,misalign_0,25
E43313,20,4,1,misalign_-10,48
E43313,20,4,1,misalign_-20,15
E43313,20,4,1,misalign_-30,99999
E33462,24,2,2,misalign_30,99999
E33462,24,2,2,misalign_20,99999
E33462,24,2,2,misalign_10,51
E33462,24,2,2,misalign_0,42
E33462,24,2,2,misalign_-10,70
E33462,24,2,2,misalign_-20,74
E33462,24,2,2,misalign_-30,99999
E43313,1,6,3,misalign_30,99999
E43313,1,6,3,misalign_20,99999
E43313,1,6,3,misalign_10,52
E43313,1,6,3,misalign_0,93
E43313,1,6,3,misalign_-10,47
E43313,1,6,3,misalign_-20,99999
E43313,1,6,3,misalign_-30,99999
E64217,14,5,4,misalign_30,99999
E64217,14,5,4,misalign_20,99999
E64217,14,5,4,misalign_10,89
E64217,14,5,4,misalign_0,87
E64217,14,5,4,misalign_-10,78
E64217,14,5,4,misalign_-20,99999
E64217,14,5,4,misalign_-30,99999
E33462,4,2,2,misalign_30,99999
E33462,4,2,2,misalign_20,32
E33462,4,2,2,misalign_10,37
E33462,4,2,2,misalign_0,88
E33462,4,2,2,misalign_-10,99999
E33462,4,2,2,misalign_-20,99999
E33462,4,2,2,misalign_-30,99999
E43313,1,2,4,misalign_30,99999
E43313,1,2,4,misalign_20,62
E43313,1,2,4,misalign_10,42
E43313,1,2,4,misalign_0,59
E43313,1,2,4,misalign_-10,64
E43313,1,2,4,misalign_-20,25
E43313,1,2,4,misalign_-30,99999
E39923,8,4,1,misalign_30,99999
E39923,8,4,1,misalign_20,64
E39923,8,4,1,misalign_10,34
E39923,8,4,1,misalign_0,35
E39923,8,4,1,misalign_-10,43
E39923,8,4,1,misalign_-20,99999
E39923,8,4,1,misalign_-30,99999
E39923,1,5,4,misalign_30,99999
E39923,1,5,4,misalign_20,15
E39923,1,5,4,misalign_10,70
E39923,1,5,4,misalign_0,18
E39923,1,5,4,misalign_-10,37
E39923,1,5,4,misalign_-20,28
E39923,1,5,4,misalign_-30,99999
E64217,22,2,4,misalign_30,99999
E64217,22,2,4,misalign_20,99999
E64217,22,2,4,misalign_10,84
E64217,22,2,4,misalign_0,44
E64217,22,2,4,misalign_-10,55
E64217,22,2,4,misalign_-20,28
E64217,22,2,4,misalign_-30,99999
E64217,22,5,4,misalign_30,99999
E64217,22,5,4,misalign_20,99999
E64217,22,5,4,misalign_10,51
E64217,22,5,4,misalign_0,89
E64217,22,5,4,misalign_-10,29
E64217,22,5,4,misalign_-20,19
E64217,22,5,4,misalign_-30,99999
E33462,10,5,4,misalign_30,99999
E33462,10,5,4,misalign_20,78
E33462,10,5,4,misalign_10,7
E33462,10,5,4,misalign_0,48
E33462,10,5,4,misalign_-10,99999
E33462,10,5,4,misalign_-20,99999
E33462,10,5,4,misalign_-30,99999
E64217,1,2,4,misalign_30,99999
E64217,1,2,4,misalign_20,99999
E64217,1,2,4,misalign_10,84
E64217,1,2,4,misalign_0,40
E64217,1,2,4,misalign_-10,24
E64217,1,2,4,misalign_-20,99999
E64217,1,2,4,misalign_-30,99999
E39923,1,6,3,misalign_30,99999
E39923,1,6,3,misalign_20,82
E39923,1,6,3,misalign_10,72
E39923,1,6,3,misalign_0,93
E39923,1,6,3,misalign_-10,63
E39923,1,6,3,misalign_-20,99999
E39923,1,6,3,misalign_-30,99999
E39923,2,5,4,misalign_30,99999
E39923,2,5,4,misalign_20,30
E39923,2,5,4,misalign_10,59
E39923,2,5,4,misalign_0,85
E39923,2,5,4,misalign_-10,4
E39923,2,5,4,misalign_-20,99999
E39923,2,5,4,misalign_-30,99999
E43313,9,6,3,misalign_30,99999
E43313,9,6,3,misalign_20,99999
E43313,9,6,3,misalign_10,2
E43313,9,6,3,misalign_0,66
E43313,9,6,3,misalign_-10,27
E43313,9,6,3,misalign_-20,99999
E43313,9,6,3,misalign_-30,99999
E39923,12,4,3,misalign_30,99999
E39923,12,4,3,misalign_20,99999
E39923,12,4,3,misalign_10,12
E39923,12,4,3,misalign_0,26
E39923,12,4,3,misalign_-10,65
E39923,12,4,3,misalign_-20,99999
E39923,12,4,3,misalign_-30,99999
E39923,16,7,2,misalign_30,99999
E39923,16,7,2,misalign_20,4
E39923,16,7,2,misalign_10,88
E39923,16,7,2,misalign_0,22
E39923,16,7,2,misalign_-10,2
E39923,16,7,2,misalign_-20,54
E39923,16,7,2,misalign_-30,99999
E39923,19,5,4,misalign_30,99999
E39923,19,5,4,misalign_20,99999
E39923,19,5,4,misalign_10,85
E39923,19,5,4,misalign_0,23
E39923,19,5,4,misalign_-10,41
E39923,19,5,4,misalign_-20,18
E39923,19,5,4,misalign_-30,99999
E33462,9,1,3,misalign_30,99999
E33462,9,1,3,misalign_20,99999
E33462,9,1,3,misalign_10,50
E33462,9,1,3,misalign_0,74
E33462,9,1,3,misalign_-10,70
E33462,9,1,3,misalign_-20,27
E33462,9,1,3,misalign_-30,99999
E39923,11,1,3,misalign_30,99999
E39923,11,1,3,misalign_20,99999
E39923,11,1,3,misalign_10,56
E39923,11,1,3,misalign_0,97
E39923,11,1,3,misalign_-10,7
E39923,11,1,3,misalign_-20,13
E39923,11,1,3,misalign_-30,99999
E39923,1,2,4,misalign_30,99999
E39923,1,2,4,misalign_20,99999
E39923,1,2,4,misalign_10,84
E39923,1,2,4,misalign_0,39
E39923,1,2,4,misalign_-10,21
E39923,1,2,4,misalign_-20,49
E39923,1,2,4,misalign_-30,99999
E39923,9,7,2,misalign_30,99999
E39923,9,7,2,misalign_20,65
E39923,9,7,2,misalign_10,62
E39923,9,7,2,misalign_0,78
E39923,9,7,2,misalign_-10,89
E39923,9,7,2,misalign_-20,99999
E39923,9,7,2,misalign_-30,99999
E33462,17,5,4,misalign_30,99999
E33462,17,5,4,misalign_20,96
E33462,17,5,4,misalign_10,89
E33462,17,5,4,misalign_0,9
E33462,17,5,4,misalign_-10,99999
E33462,17,5,4,misalign_-20,99999
E33462,17,5,4,misalign_-30,99999
E33462,18,5,4,misalign_30,99999
E33462,18,5,4,misalign_20,82
E33462,18,5,4,misalign_10,69
E33462,18,5,4,misalign_0,83
E33462,18,5,4,misalign_-10,22
E33462,18,5,4,misalign_-20,75
E33462,18,5,4,misalign_-30,99999
E64217,25,2,4,misalign_30,99999
E64217,25,2,4,misalign_20,99999
E64217,25,2,4,misalign_10,63
E64217,25,2,4,misalign_0,12
E64217,25,2,4,misalign_-10,56
E64217,25,2,4,misalign_-20,99999
E64217,25,2,4,misalign_-30,99999
E39923,1,4,3,misalign_30,99999
E39923,1,4,3,misalign_20,54
E39923,1,4,3,misalign_10,79
E39923,1,4,3,misalign_0,18
E39923,1,4,3,misalign_-10,33
E39923,1,4,3,misalign_-20,19
E39923,1,4,3,misalign_-30,99999
E64217,9,4,1,misalign_30,99999
E64217,9,4,1,misalign_20,99999
E64217,9,4,1,misalign_10,41
E64217,9,4,1,misalign_0,27
E64217,9,4,1,misalign_-10,5
E64217,9,4,1,misalign_-20,66
E64217,9,4,1,misalign_-30,99999
E39923,6,6,3,misalign_30,99999
E39923,6,6,3,misalign_20,99999
E39923,6,6,3,misalign_10,99999
E39923,6,6,3,misalign_0,19
E39923,6,6,3,misalign_-10,42
E39923,6,6,3,misalign_-20,67
E39923,6,6,3,misalign_-30,99999
E43313,1,4,3,misalign_30,99999
E43313,1,4,3,misalign_20,42
E43313,1,4,3,misalign_10,85
E43313,1,4,3,misalign_0,84
E43313,1,4,3,misalign_-10,85
E43313,1,4,3,misalign_-20,99999
E43313,1,4,3,misalign_-30,99999
E43313,8,2,2,misalign_30,99999
E43313,8,2,2,misalign_20,99999
E43313,8,2,2,misalign_10,11
E43313,8,2,2,misalign_0,54
E43313,8,2,2,misalign_-10,72
E43313,8,2,2,misalign_-20,99999
E43313,8,2,2,misalign_-30,99999
E39923,14,7,2,misalign_30,99999
E39923,14,7,2,misalign_20,99999
E39923,14,7,2,misalign_10,19
E39923,14,7,2,misalign_0,39
E39923,14,7,2,misalign_-10,69
E39923,14,7,2,misalign_-20,99999
E39923,14,7,2,misalign_-30,99999
E64217,4,1,3,misalign_30,99999
E64217,4,1,3,misalign_20,90
E64217,4,1,3,misalign_10,38
E64217,4,1,3,misalign_0,4
E64217,4,1,3,misalign_-10,99999
E64217,4,1,3,misalign_-20,99999
E64217,4,1,3,misalign_-30,99999
E39923,14,4,3,misalign_30,99999
E39923,14,4,3,misalign_20,51
E39923,14,4,3,misalign_10,65
E39923,14,4,3,misalign_0,13
E39923,14,4,3,misalign_-10,10
E39923,14,4,3,misalign_-20,17
E39923,14,4,3,misalign_-30,99999
E39923,3,6,3,misalign_30,99999
E39923,3,6,3,misalign_20,99999
E39923,3,6,3,misalign_10,50
E39923,3,6,3,misalign_0,17
E39923,3,6,3,misalign_-10,22
E39923,3,6,3,misalign_-20,99999
E39923,3,6,3,misalign_-30,99999
E39923,22,6,3,misalign_30,99999
E39923,22,6,3,misalign_20,99999
E39923,22,6,3,misalign_10,15
E39923,22,6,3,misalign_0,33
E39923,22,6,3,misalign_-10,82
E39923,22,6,3,misalign_-20,99999
E39923,22,6,3,misalign_-30,99999
E39923,4,6,3,misalign_30,99999
E39923,4,6,3,misalign_20,16
E39923,4,6,3,misalign_10,16
E39923,4,6,3,misalign_0,34
E39923,4,6,3,misalign_-10,40
E39923,4,6,3,misalign_-20,5
E39923,4,6,3,misalign_-30,99999
E33462,7,6,3,misalign_30,99999
E33462,7,6,3,misalign_20,99999
E33462,7,6,3,misalign_10,48
E33462,7,6,3,misalign_0,34
E33462,7,6,3,misalign_-10,93
E33462,7,6,3,misalign_-20,99999
E33462,7,6,3,misalign_-30,99999
E43313,3,4,3,misalign_30,99999
